2026-07-29T15:32:21.105236,817.04
2026-07-29T15:32:21.255777,816.85
2026-07-29T15:32:21.406383,816.85
2026-07-29T15:32:21.556971,816.75
2026-07-29T15:32:21.707631,816.72
2026-07-29T15:32:21.858060,816.97
2026-07-29T15:32:22.008710,816.92
2026-07-29T15:32:22.159334,816.91
2026-07-29T15:32:22.309876,816.8
2026-07-29T15:32:22.460485,816.85
2026-07-29T15:32:22.611035,816.91
2026-07-29T15:32:22.761673,816.97
2026-07-29T15:32:22.913267,816.79
2026-07-29T15:32:23.062926,816.7
2026-07-29T15:32:23.213485,816.75
2026-07-29T15:32:23.364018,816.82
2026-07-29T15:32:23.515063,816.82
2026-07-29T15:32:23.665190,816.84
2026-07-29T15:32:23.815760,816.7
2026-07-29T15:32:23.966495,816.79
2026-07-29T15:32:24.116960,816.84
2026-07-29T15:32:24.226968,125.38
2026-07-29T15:32:24.337638,136.05
2026-07-29T15:32:24.442307,50.66
2026-07-29T15:32:24.555599,165.12
2026-07-29T15:32:24.667969,164.79
2026-07-29T15:32:24.780420,165.72
2026-07-29T15:32:24.892824,165.82
2026-07-29T15:32:25.005309,167.2
2026-07-29T15:32:25.117843,168.07
2026-07-29T15:32:25.230322,166.85
2026-07-29T15:32:25.342857,167.16
2026-07-29T15:32:25.455358,168.93
2026-07-29T15:32:25.568059,169.15
2026-07-29T15:32:25.680614,169.15
2026-07-29T15:32:25.793156,168.84
2026-07-29T15:32:25.905888,169.85
2026-07-29T15:32:26.018240,166.53
2026-07-29T15:32:26.130780,168.02
2026-07-29T15:32:26.243520,171.24
2026-07-29T15:32:26.356316,171.41
2026-07-29T15:32:26.469071,172.6
2026-07-29T15:32:26.585159,228.76
2026-07-29T15:32:26.699741,202.8
2026-07-29T15:32:26.806806,92.97
2026-07-29T15:32:26.917311,115.25
2026-07-29T15:32:27.027647,131.64
2026-07-29T15:32:27.136947,109.14
2026-07-29T15:32:27.247210,132.43
2026-07-29T15:32:27.354473,96.4
2026-07-29T15:32:27.465507,124.94
2026-07-29T15:32:27.576713,141.26
2026-07-29T15:32:27.685881,114.56
2026-07-29T15:32:27.796222,130.44
2026-07-29T15:32:27.901304,59.27
2026-07-29T15:32:28.006883,50.3
2026-07-29T15:32:28.113454,65.79
2026-07-29T15:32:28.217493,9.42
2026-07-29T15:32:28.618507,7.39
2026-07-29T15:32:29.021626,7.39
2026-07-29T15:32:29.426345,16.29
2026-07-29T15:32:29.728692,9.06
2026-07-29T15:32:30.131609,9.28
2026-07-29T15:32:30.540024,67.21
2026-07-29T15:32:30.644604,44.45
2026-07-29T15:32:30.750797,60.75
2026-07-29T15:32:30.856796,57.83
2026-07-29T15:32:30.962783,57.4
2026-07-29T15:32:31.066993,16.88
2026-07-29T15:32:31.370063,13.7
2026-07-29T15:32:31.672083,7.94
2026-07-29T15:32:32.081994,58.4
2026-07-29T15:32:32.185352,57.68
2026-07-29T15:32:32.292297,74.19
2026-07-29T15:32:32.400082,67.74
2026-07-29T15:32:32.504885,57.54
2026-07-29T15:32:32.611201,61.76
2026-07-29T15:32:32.718940,87.91
2026-07-29T15:32:32.824948,57.59
2026-07-29T15:32:32.931250,61.72
2026-07-29T15:32:33.038300,72.73
2026-07-29T15:32:33.144149,57.83
2026-07-29T15:32:33.250582,59.41
2026-07-29T15:32:33.357078,70.92
2026-07-29T15:32:33.462997,56.13
2026-07-29T15:32:33.566656,17.53
2026-07-29T15:32:33.868922,8.7
2026-07-29T15:32:34.276046,59.42
2026-07-29T15:32:34.381818,52.07
2026-07-29T15:32:34.483480,2.68
2026-07-29T15:32:34.888275,17.27
2026-07-29T15:32:35.195509,61.38
2026-07-29T15:32:35.312149,236.48
2026-07-29T15:32:35.414958,9.18
2026-07-29T15:32:35.816369,9.06
2026-07-29T15:32:36.219573,9.84
2026-07-29T15:32:36.622711,8.61
2026-07-29T15:32:37.025887,8.71
2026-07-29T15:32:37.433387,63.7
2026-07-29T15:32:37.541240,88.87
2026-07-29T15:32:37.652757,133.62
2026-07-29T15:32:37.755173,13.5
